records,size_b,acks,compression,inflight,batch_b,linger_ms,time_ms,records_persec,mb_persec,latency_avg_ms,latency_max_ms,latency_50th_ms,latency_95th_ms,latency_99th_ms,latency_999th_ms,producer_batch-size-avg,producer_batch-size-max,producer_batch-split-rate,producer_batch-split-total,producer_buffer-available-bytes,producer_buffer-exhausted-rate,producer_buffer-exhausted-total,producer_buffer-total-bytes,producer_bufferpool-wait-ratio,producer_bufferpool-wait-time-total,producer_compression-rate-avg,producer_connection-close-rate,producer_connection-close-total,producer_connection-count,producer_connection-creation-rate,producer_connection-creation-total,producer_incoming-byte-rate,producer_incoming-byte-total,producer_io-ratio,producer_io-time-ns-avg,producer_io-wait-ratio,producer_io-wait-time-ns-avg,producer_io-waittime-total,producer_iotime-total,producer_metadata-age,producer_network-io-rate,producer_network-io-total,producer_outgoing-byte-rate,producer_outgoing-byte-total,producer_produce-throttle-time-avg,producer_produce-throttle-time-max,producer_record-error-rate,producer_record-error-total,producer_record-queue-time-avg,producer_record-queue-time-max,producer_record-retry-rate,producer_record-retry-total,producer_record-send-rate,producer_record-send-total,producer_record-size-avg,producer_record-size-max,producer_records-per-request-avg,producer_request-latency-avg,producer_request-latency-max,producer_request-rate,producer_request-size-avg,producer_request-size-max,producer_request-total,producer_requests-in-flight,producer_response-rate,producer_response-total,producer_select-rate,producer_select-total,producer_waiting-threads,producer-node_incoming-byte-rate_1,producer-node_incoming-byte-rate_2,producer-node_incoming-byte-rate_3,producer-node_incoming-byte-total_1,producer-node_incoming-byte-total_2,producer-node_incoming-byte-total_3,producer-node_outgoing-byte-rate_1,producer-node_outgoing-byte-rate_2,producer-node_outgoing-byte-rate_3,producer-node_outgoing-byte-total_1,producer-node_outgoing-byte-total_2,producer-node_outgoing-byte-total_3,producer-node_request-latency-avg_1,producer-node_request-latency-avg_2,producer-node_request-latency-avg_3,producer-node_request-latency-max_1,producer-node_request-latency-max_2,producer-node_request-latency-max_3,producer-node_request-rate_1,producer-node_request-rate_2,producer-node_request-rate_3,producer-node_request-size-avg_1,producer-node_request-size-avg_2,producer-node_request-size-avg_3,producer-node_request-size-max_1,producer-node_request-size-max_2,producer-node_request-size-max_3,producer-node_request-total_1,producer-node_request-total_2,producer-node_request-total_3,producer-node_response-rate_1,producer-node_response-rate_2,producer-node_response-rate_3,producer-node_response-total_1,producer-node_response-total_2,producer-node_response-total_3,producer-topic_byte-rate,producer-topic_byte-total,producer-topic_compression-rate,producer-topic_record-error-rate,producer-topic_record-error-total,producer-topic_record-retry-rate,producer-topic_record-retry-total,producer-topic_record-send-rate,producer-topic_record-send-total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1048576,-1,snappy,1,0,0,8958,61.057516,61.06,487.37,1187,534,957,1092,1187,1048995,1048995,0,0,33554432,0,0,33554432,0.182,6878468301,1,0,0,4,0.105,4,717.444,27260,0.013,152038.526,0.171,1963181.249,6541319921,506592368,7.948,15.264,580,13804066.689,524513122,0,0,0,0,392.348,1038,0,0,13.202,500,1048664,1048664,1.754,75.316,120,7.632,1808665.938,2098046,290,0,7.632,290,87.248,3332,0,232.187,233.311,233.36,8792,8832,8842,4291254.203,4766274.408,4789555.488,162599913,180432084,181481047,52.455,88.932,90.448,79,120,119,2.929,2.351,2.322,1464864.081,2027326.787,2062284.625,2098046,2098046,2098046,111,89,88,2.931,2.351,2.323,111,89,88,13848850.104,524497500,1,0,0,0,0,13.202,500
500,1048576,-1,snappy,1,0,20,8228,67.015145,67.02,442.3,1318,450,1010,1262,1318,1048995,1048995,0,0,33554432,0,0,33554432,0.168,6223514371,1,0,0,4,0.107,4,743.956,27728,0.013,152278.264,0.156,1806452.582,5858325723,493838409,7.222,16.527,616,14072597.178,524513842,0,0,0,0,355.82,1220,0,0,13.462,500,1048664,1048664,1.65,67.165,132,8.264,1702967.019,2098046,308,0,8.264,308,86.568,3243,0,259.6,233.673,231.9,9640,8684,8610,4714186.239,4657192.676,4745945.818,175188589,173089223,176235952,48.452,77.663,83.541,82,122,132,3.417,2.502,2.316,1379437.709,1861174.441,2049255.256,2098046,2098046,2098046,127,93,86,3.42,2.502,2.316,127,93,86,14122172.859,524497500,1,0,0,0,0,13.463,500
500,1048576,-1,snappy,1,0,150,8226,67.105087,67.11,440.45,1404,330,1192,1380,1404,1048995,1048995,0,0,33554432,0,0,33554432,0.168,6225069553,1,0,0,4,0.107,4,743.478,27702,0.014,160810.336,0.155,1796988.91,5789898269,518130903,7.214,16.478,614,14076750.543,524513802,0,0,0,0,353.34,1324,0,0,13.464,500,1048664,1048664,1.656,67.758,129,8.239,1708514.013,2098046,307,0,8.239,307,86.03,3222,0,272.372,220.277,231.913,10120,8178,8610,4969179.276,4404584.056,4743391.075,184629856,163647916,176235952,48.159,82.306,83.647,109,122,129,3.58,2.315,2.315,1388194.406,1902882.744,2049255.256,2098046,2098046,2098046,133,86,86,3.58,2.316,2.316,133,86,86,14124074.323,524497500,1,0,0,0,0,13.464,500
500,1048576,-1,snappy,1,0,1000,8215,67.222372,67.22,436.39,1390,422,1142,1300,1390,1048995,1048995,0,0,33554432,0,0,33554432,0.165,6109446884,1,0,0,4,0.107,4,745.912,27780,0.013,149143.919,0.155,1750381.36,5813016498,495306955,7.186,16.647,620,14083557.232,524513922,0,0,0,0,351.728,1295,0,0,13.476,500,1048664,1048664,1.639,65.446,154,8.324,1691980.394,2098046,310,0,8.324,310,88.704,3321,0,254.475,227.248,245.555,9440,8430,9116,4521338.469,4606064.623,5000868.836,167845648,170990937,185677259,46.672,80.941,77.25,85,131,154,3.475,2.317,2.505,1301129.054,1988266.709,1996529.667,2098046,2098046,2098046,129,86,93,3.477,2.318,2.505,129,86,93,14137017.87,524497500,1,0,0,0,0,13.477,500
500,1048576,-1,snappy,1,16384,0,8688,63.155236,63.16,464.25,1641,261,1404,1611,1641,1048995,1048995,0,0,33554432,0,0,33554432,0.173,6490401126,1,0,0,4,0.106,4,744.692,28092,0.013,149521.204,0.166,1915170.386,6285589208,490728591,7.673,17.071,644,13903997.508,524514402,0,0,0,0,379.776,1536,0,0,13.302,500,1048664,1048664,1.577,64.817,130,8.536,1628926.714,2098046,322,0,8.536,322,86.555,3282,0,253.466,215.746,257.026,9526,8114,9658,4630383.589,4099949.192,5219443.62,174139466,154207289,196167569,48.862,73.495,76.313,77,118,130,3.297,2.552,2.661,1404350.532,1606325.927,1961675.69,2098046,2098046,2098046,124,96,100,3.299,2.553,2.661,124,96,100,13953854.954,524497500,1,0,0,0,0,13.302,500
500,1048576,-1,snappy,1,16384,20,8603,63.816209,63.82,466.12,1493,412,1222,1414,1493,1048995,1048995,0,0,33554432,0,0,33554432,0.176,6602418644,1,0,0,4,0.106,4,726.205,27338,0.013,155348.822,0.165,1970905.122,6230031091,491057626,7.598,15.566,586,13932774.85,524513242,0,0,0,0,371.846,1381,0,0,13.326,500,1048664,1048664,1.736,74.715,134,7.783,1790147.584,2098046,293,0,7.783,293,83.543,3161,0,270.953,219.606,216.972,10164,8244,8136,5113813.452,4470827.553,4391914.64,191972557,167843808,164696799,52.79,91.768,90.817,87,134,126,3.33,2.211,2.213,1535780.456,2022214.554,1984298.783,2098046,2098046,2098046,125,83,83,3.332,2.211,2.213,125,83,83,13978771.888,524497500,1,0,0,0,0,13.326,500
500,1048576,-1,snappy,1,16384,150,8449,65.350935,65.35,450.38,1578,350,1226,1534,1578,1048995,1048995,0,0,33554432,0,0,33554432,0.17,6342226242,1,0,0,4,0.106,4,742.92,27832,0.013,149155.56,0.161,1872726.714,6045161834,481474147,7.415,16.656,624,14000480.515,524514002,0,0,0,0,363.404,1504,0,0,13.392,500,1048664,1048664,1.629,67.27,136,8.328,1681134.622,2098046,312,0,8.328,312,85.73,3228,0,265.653,238.963,219.514,9924,8920,8194,4830114.68,4858153.095,4352570.951,180433764,181481167,162598993,48.5,81.211,80.897,105,136,122,3.507,2.436,2.356,1377356.977,1994298.538,1847715.83,2098046,2098046,2098046,131,91,88,3.507,2.438,2.357,131,91,88,14048789.307,524497500,1,0,0,0,0,13.393,500
500,1048576,-1,snappy,1,16384,1000,8299,66.365808,66.37,442.22,1229,448,960,1155,1229,1048995,1048995,0,0,33554432,0,0,33554432,0.167,6215562875,1,0,0,4,0.107,4,744.034,27780,0.014,156980.506,0.157,1777297.448,5881077254,519448495,7.284,16.606,620,14048100.329,524513922,0,0,0,0,357.2,1139,0,0,13.439,500,1048664,1048664,1.639,65.531,131,8.303,1691980.394,2098046,310,0,8.303,310,88.158,3309,0,247.468,231.245,246.646,9212,8600,9174,4452463.386,4710087.353,4935196.865,165747402,175186989,183579453,47.582,81.465,73.979,103,131,123,3.304,2.339,2.635,1347539.854,2013643.552,1873259.724,2098046,2098046,2098046,123,87,98,3.304,2.339,2.635,123,87,98,14097879.26,524497500,1,0,0,0,0,13.439,500
500,1048576,-1,snappy,1,1048576,0,8365,65.858799,65.86,446.44,1460,420,1084,1303,1460,1048995,1048995,0,0,33554432,0,0,33554432,0.168,6260130086,1,0,0,4,0.106,4,738.669,27624,0.013,155545.984,0.158,1841284.842,5951032608,502724620,7.341,16.258,608,14025555.045,524513682,0,0,0,0,358.494,1371,0,0,13.418,500,1048664,1048664,1.672,68.368,138,8.129,1725373.954,2098046,304,0,8.129,304,85.969,3232,0,259.797,235.559,224.608,9686,8776,8368,4754902.91,4755247.975,4558282.657,177286555,177285155,169941894,49.112,80.4,84.131,104,138,117,3.379,2.441,2.28,1407036.151,1948188.516,1999316.4,2098046,2098046,2098046,126,91,85,3.38,2.443,2.282,126,91,85,14076313.035,524497500,1,0,0,0,0,13.419,500
