records,size,acks,compression,inflight,batch,linger,time,batch-size-avg,batch-size-max,batch-split-rate,batch-split-total,buffer-available-bytes,buffer-exhausted-rate,buffer-exhausted-total,buffer-total-bytes,bufferpool-wait-ratio,bufferpool-wait-time-total,compression-rate-avg,connection-close-rate,connection-close-total,connection-count,connection-creation-rate,connection-creation-total,failed-authentication-rate,failed-authentication-total,failed-reauthentication-rate,failed-reauthentication-total,incoming-byte-rate,incoming-byte-total,io-ratio,io-time-ns-avg,io-wait-ratio,io-wait-time-ns-avg,io-waittime-total,iotime-total,metadata-age,network-io-rate,network-io-total,outgoing-byte-rate,outgoing-byte-total,produce-throttle-time-avg,produce-throttle-time-max,reauthentication-latency-avg,reauthentication-latency-max,record-error-rate,record-error-total,record-queue-time-avg,record-queue-time-max,record-retry-rate,record-retry-total,record-send-rate,record-send-total,record-size-avg,record-size-max,records-per-request-avg,request-latency-avg,request-latency-max,request-rate,request-size-avg,request-size-max,request-total,requests-in-flight,response-rate,response-total,select-rate,select-total,successful-authentication-no-reauth-total,successful-authentication-rate,successful-authentication-total,successful-reauthentication-rate,successful-reauthentication-total,waiting-threads,incoming-byte-rate--2,incoming-byte-rate-1,incoming-byte-rate-2,incoming-byte-rate-3,incoming-byte-total--2,incoming-byte-total-1,incoming-byte-total-2,incoming-byte-total-3,outgoing-byte-rate--2,outgoing-byte-rate-1,outgoing-byte-rate-2,outgoing-byte-rate-3,outgoing-byte-total--2,outgoing-byte-total-1,outgoing-byte-total-2,outgoing-byte-total-3,request-latency-avg--2,request-latency-avg-1,request-latency-avg-2,request-latency-avg-3,request-latency-max--2,request-latency-max-1,request-latency-max-2,request-latency-max-3,request-rate--2,request-rate-1,request-rate-2,request-rate-3,request-size-avg--2,request-size-avg-1,request-size-avg-2,request-size-avg-3,request-size-max--2,request-size-max-1,request-size-max-2,request-size-max-3,request-total--2,request-total-1,request-total-2,request-total-3,response-rate--2,response-rate-1,response-rate-2,response-rate-3,response-total--2,response-total-1,response-total-2,response-total-3,byte-rate,byte-total,compression-rate,record-error-rate,record-error-total,record-retry-rate,record-retry-total,record-send-rate,record-send-total
16384,1024,-1,"snappy",1,0,0,28,1119.000,1119.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,1.024,0.000,0.000,4.000,0.070,4.000,0.000,0.000,0.000,0.000,14203.965,807396.000,0.010,21231.963,0.442,933365.244,25160726885.000,572350028.000,26.796,292.082,16604.000,330651.386,18796870.000,0.000,0.000,NaN,NaN,0.000,0.000,12847.802,26434.000,0.000,0.000,288.980,16384.000,1110.000,1110.000,1.975,9.558,270.000,146.041,2264.138,2294.000,8302.000,0.000,146.051,8302.000,473.104,26957.000,0.000,0.000,0.000,0.000,0.000,0.000,13.969,4808.390,4661.210,4758.272,794.000,272578.000,264230.000,269794.000,1.372,112265.882,108448.287,110722.732,78.000,6365251.000,6148801.000,6282740.000,NaN,9.514,9.590,9.571,NaN,270.000,269.000,269.000,0.035,49.171,48.148,49.028,39.000,2283.089,2252.308,2258.354,48.000,2294.000,2294.000,2294.000,2.000,2788.000,2730.000,2782.000,0.035,49.181,48.159,49.065,2.000,2788.000,2730.000,2782.000,323374.125,18333696.000,1.024,0.000,0.000,0.000,0.000,288.985,16384.000
16384,1024,-1,"snappy",1,0,20,29,1119.000,1119.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,1.024,0.000,0.000,4.000,0.068,4.000,0.000,0.000,0.000,0.000,13752.362,806356.000,0.009,20507.058,0.460,1002024.874,27015592631.000,552890789.000,28.586,281.792,16524.000,320525.077,18795270.000,0.000,0.000,NaN,NaN,0.000,0.000,14206.291,28258.000,0.000,0.000,280.011,16384.000,1110.000,1110.000,1.984,10.251,227.000,140.896,2274.906,2294.000,8262.000,0.000,140.908,8262.000,458.708,26961.000,0.000,0.000,0.000,0.000,0.000,0.000,13.542,4569.451,4569.759,4628.495,794.000,267354.000,267404.000,270804.000,1.330,106644.473,106728.234,107815.657,78.000,6240408.000,6245843.000,6308941.000,NaN,10.294,10.269,10.192,NaN,224.000,222.000,227.000,0.034,46.790,46.700,47.662,39.000,2279.185,2285.343,2262.080,48.000,2294.000,2294.000,2294.000,2.000,2738.000,2733.000,2789.000,0.034,46.796,46.705,47.669,2.000,2738.000,2733.000,2789.000,313337.595,18333696.000,1.024,0.000,0.000,0.000,0.000,280.016,16384.000
16384,1024,-1,"snappy",1,0,1000,33,1119.000,1119.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,1.024,0.000,0.000,4.000,0.126,4.000,0.000,0.000,0.000,0.000,25504.132,805446.000,0.016,22057.569,0.948,1282986.065,30103985040.000,517558806.000,31.533,520.219,16454.000,594197.414,18793870.000,0.000,0.000,NaN,NaN,0.000,0.000,14989.602,31230.000,0.000,0.000,522.299,16384.000,1110.000,1110.000,1.993,11.289,243.000,260.109,2284.414,2294.000,8227.000,0.000,260.505,8227.000,738.628,23464.000,0.000,0.000,0.000,0.000,0.000,0.000,25.142,8622.666,8540.060,8481.101,794.000,270562.000,267970.000,266120.000,2.466,200714.059,199046.148,197500.127,78.000,6316070.000,6262788.000,6214934.000,NaN,11.303,11.370,11.194,NaN,243.000,243.000,241.000,0.063,88.023,86.890,86.469,39.000,2280.170,2290.705,2284.062,48.000,2294.000,2294.000,2294.000,2.000,2770.000,2734.000,2721.000,0.063,88.278,87.131,86.717,2.000,2770.000,2734.000,2721.000,584471.308,18333696.000,1.024,0.000,0.000,0.000,0.000,522.316,16384.000
16384,1024,-1,"snappy",1,1048576,0,2,81979.647,82126.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,0.082,0.000,0.000,4.000,0.129,4.000,0.000,0.000,0.000,0.000,94.510,2904.000,0.001,70678.352,0.020,1522379.214,605906927.000,28129984.000,0.678,1.430,44.000,45318.993,1394692.000,0.000,0.000,NaN,NaN,0.000,0.000,330.294,471.000,0.000,0.000,540.815,16384.000,1110.000,1110.000,963.765,29.353,73.000,0.715,63395.091,82174.000,22.000,0.000,0.716,22.000,12.857,398.000,0.000,0.000,0.000,0.000,0.000,0.000,25.840,25.947,21.860,21.847,794.000,786.000,662.000,662.000,2.535,18979.869,13492.176,13420.456,78.000,575109.000,408678.000,410827.000,NaN,39.000,25.800,19.400,NaN,73.000,53.000,33.000,0.065,0.264,0.198,0.196,39.000,71888.625,68113.000,68471.167,48.000,82161.000,82151.000,82174.000,2.000,8.000,6.000,6.000,0.065,0.264,0.198,0.198,2.000,8.000,6.000,6.000,46004.291,1393654.000,0.082,0.000,0.000,0.000,0.000,540.833,16384.000
16384,1024,-1,"snappy",1,1048576,20,1,81918.765,82365.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,0.082,0.000,0.000,4.000,0.130,4.000,0.000,0.000,0.000,0.000,94.763,2904.000,0.001,118954.700,0.018,2701208.425,540241685.000,23790940.000,0.591,1.434,44.000,45407.826,1393657.000,0.000,0.000,NaN,NaN,0.000,0.000,125.000,398.000,0.000,0.000,537.603,16384.000,1110.000,1110.000,963.765,65.647,255.000,0.717,63348.045,82413.000,22.000,0.000,0.718,22.000,6.481,200.000,0.000,0.000,0.000,0.000,0.000,0.000,25.910,23.785,21.716,23.785,794.000,724.000,662.000,724.000,2.541,16023.564,13472.684,16212.438,78.000,488238.000,411348.000,493993.000,NaN,70.833,70.000,56.833,NaN,255.000,223.000,248.000,0.065,0.230,0.197,0.230,39.000,69748.286,68558.000,70570.429,48.000,82413.000,82411.000,82411.000,2.000,7.000,6.000,7.000,0.065,0.230,0.197,0.230,2.000,7.000,6.000,7.000,45697.096,1392619.000,0.082,0.000,0.000,0.000,0.000,537.621,16384.000
16384,1024,-1,"snappy",1,1048576,1000,2,81979.235,82363.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,0.082,0.000,0.000,4.000,0.130,4.000,0.000,0.000,0.000,0.000,95.294,2904.000,0.001,136838.076,0.012,2217946.229,377050859.000,23262473.000,0.424,1.442,44.000,45694.417,1394685.000,0.000,0.000,NaN,NaN,0.000,0.000,127.412,237.000,0.000,0.000,541.012,16384.000,1110.000,1110.000,963.765,31.471,101.000,0.721,63394.773,82411.000,22.000,0.000,0.722,22.000,5.543,170.000,0.000,0.000,0.000,0.000,0.000,0.000,26.055,23.939,21.855,23.940,794.000,724.000,662.000,724.000,2.556,16196.646,13549.952,16282.444,78.000,490564.000,411092.000,492951.000,NaN,37.833,25.400,30.167,NaN,101.000,61.000,56.000,0.066,0.231,0.198,0.231,39.000,70080.571,68515.333,70421.571,48.000,82150.000,82411.000,82159.000,2.000,7.000,6.000,7.000,0.066,0.231,0.198,0.231,2.000,7.000,6.000,7.000,46020.771,1393647.000,0.082,0.000,0.000,0.000,0.000,541.030,16384.000
16384,1024,-1,"snappy",1,5000000,0,2,346896.250,392062.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,0.082,0.000,0.000,3.000,0.098,3.000,0.000,0.000,0.000,0.000,57.415,1746.000,0.001,816532.000,0.011,12739423.231,331225004.000,21229832.000,0.355,0.722,22.000,45570.838,1387951.000,0.000,0.000,NaN,NaN,0.000,0.000,85.500,119.000,0.000,0.000,542.032,16384.000,1110.000,1110.000,4096.000,88.750,119.000,0.263,173493.875,392110.000,8.000,0.000,0.263,8.000,0.849,26.000,0.000,0.000,0.000,0.000,0.000,0.000,26.111,15.756,15.743,794.000,476.000,476.000,2.561,25880.270,19997.458,78.000,782050.000,605823.000,NaN,97.500,80.000,NaN,104.000,119.000,0.066,0.099,0.099,39.000,260683.333,201941.000,48.000,392110.000,389792.000,2.000,3.000,3.000,0.066,0.099,0.099,2.000,3.000,3.000,45907.001,1387585.000,0.082,0.000,0.000,0.000,0.000,542.050,16384.000
16384,1024,-1,"snappy",1,5000000,20,1,346867.250,389838.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,0.082,0.000,0.000,3.000,0.097,3.000,0.000,0.000,0.000,0.000,56.971,1746.000,0.001,353921.098,0.016,9899140.490,504856165.000,18049976.000,0.601,0.718,22.000,45275.666,1387835.000,0.000,0.000,NaN,NaN,0.000,0.000,220.250,425.000,0.000,0.000,537.992,16384.000,1110.000,1110.000,4096.000,184.250,302.000,0.261,173479.375,389886.000,8.000,0.000,0.261,8.000,1.656,51.000,0.000,0.000,0.000,0.000,0.000,0.000,25.908,13.601,17.660,794.000,414.000,538.000,2.545,12807.397,32669.450,78.000,389934.000,997823.000,NaN,292.000,148.333,NaN,292.000,302.000,0.065,0.066,0.131,39.000,194967.000,249455.750,48.000,389886.000,389886.000,2.000,2.000,4.000,0.065,0.066,0.131,2.000,2.000,4.000,45560.996,1387469.000,0.082,0.000,0.000,0.000,0.000,538.009,16384.000
16384,1024,-1,"snappy",1,5000000,1000,2,346858.250,389843.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,0.082,0.000,0.000,4.000,0.131,4.000,0.000,0.000,0.000,0.000,68.839,2098.000,0.001,733912.862,0.012,12321286.069,357317296.000,21283473.000,0.428,0.787,24.000,45528.557,1387847.000,0.000,0.000,NaN,NaN,0.000,0.000,158.750,234.000,0.000,0.000,542.409,16384.000,1110.000,1110.000,4096.000,90.500,131.000,0.295,154205.222,389891.000,9.000,0.000,0.295,9.000,0.946,29.000,0.000,0.000,0.000,0.000,0.000,0.000,26.052,15.766,13.701,13.715,794.000,476.000,414.000,414.000,2.559,25810.942,12858.317,7227.646,78.000,779826.000,389697.000,218246.000,NaN,88.500,131.000,54.000,NaN,107.000,131.000,54.000,0.066,0.099,0.066,0.066,39.000,259942.000,194848.500,109123.000,48.000,389891.000,389649.000,218198.000,2.000,3.000,2.000,2.000,0.066,0.099,0.066,0.066,2.000,3.000,2.000,2.000,45941.490,1387433.000,0.082,0.000,0.000,0.000,0.000,542.517,16384.000
16384,1024,-1,"snappy",5,0,0,5,1119.000,1119.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,1.024,0.000,0.000,4.000,0.116,4.000,0.000,0.000,0.000,0.000,23546.004,805862.000,0.011,45008.389,0.090,354596.555,3109102590.000,394633558.000,4.182,480.992,16486.000,548344.566,18794510.000,0.000,0.000,NaN,NaN,0.000,0.000,1925.394,3825.000,0.000,0.000,481.627,16384.000,1110.000,1110.000,1.989,7.011,37.000,240.496,2280.057,2294.000,8243.000,0.000,240.840,8243.000,254.610,8768.000,0.000,0.000,0.000,0.000,0.000,0.000,23.199,7958.915,7805.214,7898.339,794.000,270818.000,265588.000,268662.000,2.276,185052.439,181874.626,183992.261,78.000,6313249.000,6204471.000,6276712.000,NaN,7.149,7.026,6.855,NaN,37.000,36.000,36.000,0.058,81.602,79.525,80.436,39.000,2267.690,2286.941,2287.431,48.000,2294.000,2294.000,2294.000,2.000,2784.000,2713.000,2744.000,0.058,81.820,79.731,80.670,2.000,2784.000,2713.000,2744.000,538956.875,18333696.000,1.024,0.000,0.000,0.000,0.000,481.656,16384.000
