success,size,topic,acks,compression,inflight,batch,linger,time,rate,latency
1,131072,test-snappy,-1,snappy,1,0,0,4583,66.63,398.45
1,131072,test-snappy,-1,snappy,1,0,20,4445,69.17,394.50
1,131072,test-snappy,-1,snappy,1,0,50,4466,69.10,390.29
1,131072,test-snappy,-1,snappy,1,0,100,4477,69.08,377.05
1,131072,test-snappy,-1,snappy,1,0,150,4669,65.59,404.49
1,131072,test-snappy,-1,snappy,1,0,200,4447,69.57,388.44
1,131072,test-snappy,-1,snappy,1,0,300,4557,67.17,401.00
1,131072,test-snappy,-1,snappy,1,0,500,4573,66.88,400.04
1,131072,test-snappy,-1,snappy,1,0,700,4408,69.70,382.62
1,131072,test-snappy,-1,snappy,1,0,1000,4507,67.98,396.16
1,131072,test-snappy,-1,snappy,1,512,0,4474,68.67,391.95
1,131072,test-snappy,-1,snappy,1,512,20,4554,67.26,402.97
1,131072,test-snappy,-1,snappy,1,512,50,4373,70.80,375.53
1,131072,test-snappy,-1,snappy,1,512,100,4373,70.56,381.29
1,131072,test-snappy,-1,snappy,1,512,150,4499,68.16,396.66
1,131072,test-snappy,-1,snappy,1,512,200,4605,66.56,395.17
1,131072,test-snappy,-1,snappy,1,512,300,4416,69.70,389.69
1,131072,test-snappy,-1,snappy,1,512,500,4577,66.79,389.88
1,131072,test-snappy,-1,snappy,1,512,700,4463,68.85,391.10
1,131072,test-snappy,-1,snappy,1,512,1000,4584,66.60,394.71
1,131072,test-snappy,-1,snappy,1,1024,0,4360,71.27,373.15
1,131072,test-snappy,-1,snappy,1,1024,20,4422,69.57,389.81
1,131072,test-snappy,-1,snappy,1,1024,50,4584,66.46,402.03
1,131072,test-snappy,-1,snappy,1,1024,100,4565,67.17,403.62
1,131072,test-snappy,-1,snappy,1,1024,150,4584,66.65,404.91
1,131072,test-snappy,-1,snappy,1,1024,200,4443,69.17,385.69
1,131072,test-snappy,-1,snappy,1,1024,300,4469,68.85,385.11
1,131072,test-snappy,-1,snappy,1,1024,500,4410,70.47,378.70
1,131072,test-snappy,-1,snappy,1,1024,700,4379,70.66,381.23
1,131072,test-snappy,-1,snappy,1,1024,1000,4332,71.33,376.53
1,131072,test-snappy,-1,snappy,1,8192,0,4371,70.54,375.62
1,131072,test-snappy,-1,snappy,1,8192,20,4426,69.68,386.63
1,131072,test-snappy,-1,snappy,1,8192,50,4502,68.63,393.32
1,131072,test-snappy,-1,snappy,1,8192,100,4592,66.53,400.70
1,131072,test-snappy,-1,snappy,1,8192,150,4606,66.24,401.83
