success,type,size,time,rate,latency
1,ranch,1000000,7198,79.73,134.74
1,ranch,1024,4415,81.05,0.57
1,ranch,128,8626,69.10,2.73
1,ranch,128000,8817,63.56,78.80
1,ranch,1500,7677,74.01,1.86
1,ranch,16365,7647,74.24,3.09
1,ranch,2048,9315,72.03,1.85
1,ranch,256,8442,70.67,2.78
1,ranch,256000,7310,78.31,103.25
1,ranch,3000,7266,78.67,1.94
1,ranch,32000,8352,67.33,8.12
1,ranch,350000,7498,76.02,62.70
1,ranch,4096,6863,84.27,2.08
1,ranch,48000,7869,71.90,18.53
1,ranch,512000,7095,80.99,79.93
1,ranch,64536,7957,71.05,35.24
1,ranch,80000,7441,76.60,42.57
1,default,1000000,7616,74.66,389.59
1,default,1024,7804,72.87,372.34
1,default,128,8581,65.69,387.44
1,default,128000,6655,86.73,337.94
1,default,1500,8506,66.36,396.23
1,default,16365,9501,58.66,498.14
1,default,2048,8320,67.79,372.02
1,default,256,8193,68.95,388.01
1,default,256000,6497,73.15,329.11
1,default,3000,8462,66.65,396.78
1,default,32000,7641,61.33,392.42
1,default,350000,7070,81.29,357.19
1,default,4096,9793,56.82,392.65
1,default,48000,6857,65.18,347.15
1,default,512000,7085,80.93,365.32
1,default,64536,7786,72.83,401.03
1,default,80000,7935,71.41,411.32
